generic_name,name_uz,name_ru,form,strength,atc_code,availability_tier,controlled,pediatric_ok,pregnancy_category,typical_cost_uzs,notes
amoxicillin,amoksitsillin,амоксициллин,capsule,500 mg,J01CA04,1,false,true,B,3500,First-line for community-acquired pneumonia in adults
amoxicillin,amoksitsillin,амоксициллин,suspension,250 mg/5 ml,J01CA04,1,false,true,B,12000,Pediatric formulation; dose by weight
amoxicillin-clavulanate,amoksitsillin-klavulanat,амоксициллин-клавуланат,tablet,875/125 mg,J01CR02,2,false,true,B,18000,Second-line; use when beta-lactamase suspected
azithromycin,azitromitsin,азитромицин,tablet,500 mg,J01FA10,2,false,true,B,22000,Atypical pneumonia; 3-day course
ceftriaxone,seftriakson,цефтриаксон,injection,1 g,J01DD04,2,false,true,B,15000,Severe infection; refer if IV access needed
ciprofloxacin,siprofloksatsin,ципрофлоксацин,tablet,500 mg,J01MA02,2,false,false,C,9000,Not for children or pregnancy; tendon risk
metronidazole,metronidazol,метронидазол,tablet,250 mg,J01XD01,1,false,true,B,4000,Anaerobic and protozoal infection
co-trimoxazole,ko-trimoksazol,ко-тримоксазол,tablet,480 mg,J01EE01,1,false,true,C,3000,Avoid in third trimester
doxycycline,doksitsiklin,доксициклин,capsule,100 mg,J01AA02,2,false,false,D,7000,Contraindicated under 8 years and in pregnancy
paracetamol,paratsetamol,парацетамол,tablet,500 mg,N02BE01,1,false,true,A,1500,First-line antipyretic and analgesic
paracetamol,paratsetamol,парацетамол,syrup,120 mg/5 ml,N02BE01,1,false,true,A,9000,Pediatric; 15 mg/kg per dose
ibuprofen,ibuprofen,ибупрофен,tablet,400 mg,M01AE01,1,false,true,C,2500,Avoid after 30 weeks of pregnancy; caution in gastritis
ibuprofen,ibuprofen,ибупрофен,suspension,100 mg/5 ml,M01AE01,1,false,true,C,11000,Pediatric; 10 mg/kg per dose; not under 3 months
diclofenac,diklofenak,диклофенак,tablet,50 mg,M01AB05,1,false,false,C,3000,Musculoskeletal pain; not under 14 years
omeprazole,omeprazol,омепразол,capsule,20 mg,A02BC01,1,false,true,C,6000,Gastritis and part of H. pylori eradication
famotidine,famotidin,фамотидин,tablet,20 mg,A02BA03,2,false,true,B,5000,Alternative acid suppression
clarithromycin,klaritromitsin,кларитромицин,tablet,500 mg,J01FA09,2,false,true,C,26000,H. pylori triple therapy component
bismuth subsalicylate,vismut subsalitsilat,висмута субсалицилат,tablet,120 mg,A02BX05,3,false,false,C,14000,Quadruple therapy; limited availability
oral rehydration salts,og'iz orqali regidratatsiya tuzi,оральные регидратационные соли,sachet,WHO low-osmolarity,A07CA,1,false,true,A,2000,First-line for all diarrheal dehydration
zinc sulfate,rux sulfat,цинка сульфат,tablet,20 mg,A12CB01,1,false,true,A,3000,WHO IMCI: 10-14 days with ORS in childhood diarrhea
enalapril,enalapril,эналаприл,tablet,10 mg,C09AA02,1,false,false,D,4000,Contraindicated in pregnancy
lisinopril,lizinopril,лизиноприл,tablet,10 mg,C09AA03,2,false,false,D,7000,Contraindicated in pregnancy
amlodipine,amlodipin,амлодипин,tablet,5 mg,C08CA01,1,false,false,C,5000,First-line for hypertension; ankle edema common
hydrochlorothiazide,gidroxlortiazid,гидрохлортиазид,tablet,25 mg,C03AA03,1,false,false,B,3000,Often combined with an ACE inhibitor
bisoprolol,bisoprolol,бисопролол,tablet,5 mg,C07AB07,2,false,false,C,8000,Avoid in asthma
