term_uz,term_ru,term_en,icd10,concept,category,synonyms
yo'tal,кашель,cough,R05,cough,symptom,yutal|yo'tel|jo'tal|yo'talyapman|yo'taladi
quruq yo'tal,сухой кашель,dry cough,R05,dry_cough,symptom,quruq yutal
balg'amli yo'tal,влажный кашель,productive cough,R05,productive_cough,symptom,balgamli yutal|ho'l yo'tal
balg'am,мокрота,sputum,R09.3,sputum,symptom,balgam
qonli balg'am,кровь в мокроте,hemoptysis,R04.2,hemoptysis,red_flag,qon tupurish|qon tuflash
nafas qisishi,одышка,dyspnea,R06.0,dyspnea,symptom,nafas qisish|nafas yetishmasligi|hansirash|nafas olisi qiyin|nafasim qisyapti
hansirash,одышка при нагрузке,exertional dyspnea,R06.0,exertional_dyspnea,symptom,yurganda nafas qisadi
tomoq og'rig'i,боль в горле,sore throat,J02.9,sore_throat,symptom,tomoq ogrigi|bo'g'iz og'riyapti|tomoq achishishi
burun bitishi,заложенность носа,nasal congestion,J31.0,nasal_congestion,symptom,burun bitgan|dimog' bitishi
burundan suv oqishi,насморк,rhinorrhea,J00,rhinorrhea,symptom,shilliq oqishi|tumov
shamollash,простуда,common cold,J00,common_cold,condition,shamollab qoldim|sovuq oldi|tumov
gripp,грипп,influenza,J11.1,influenza,condition,gripp bo'ldi
zotiljam,пневмония,pneumonia,J18.9,pneumonia,condition,o'pka shamollashi|pnevmoniya
bronxit,бронхит,bronchitis,J40,bronchitis,condition,bronhit
bo'g'ilish,удушье,choking,R06.8,choking,red_flag,bo'g'ilib qolish|nafas ololmayapti
xirillash,хрипы,wheezing,R06.2,wheezing,symptom,xirillagan nafas|hushtak
astma,астма,asthma,J45.9,asthma,condition,bo'g'ma|nafas astmasi
sil,туберкулёз,tuberculosis,A15.0,tuberculosis,condition,sil kasali|tuberkulyoz|quruq kasal|o'pka sili
tunda terlash,ночная потливость,night sweats,R61,night_sweats,symptom,kechasi terlayman|tungi ter
ovoz bo'g'ilishi,осиплость голоса,hoarseness,R49.0,hoarseness,symptom,ovoz o'tirib qolgan
isitma,температура,fever,R50.9,fever,symptom,harorat|qizitma|olov|tana harorati ko'tarilgan|issiq|isitmam bor|harorati bor|isityapti
titroq,озноб,chills,R68.83,chills,symptom,qaltirash|junjikish|dildirash
holsizlik,слабость,weakness,R53,weakness,symptom,madorsizlik|kuchsizlik|darmonsizlik|holim yo'q|holsizman|darmonim yoq
charchoq,усталость,fatigue,R53.83,fatigue,symptom,tez charchash|toliqish
terlash,потливость,sweating,R61,sweating,symptom,ter bosishi
ozish,потеря веса,weight loss,R63.4,weight_loss,symptom,vazn yo'qotish|ozib ketdim|oriqlash
ishtaha yo'qligi,отсутствие аппетита,anorexia,R63.0,appetite_loss,symptom,ishtaham yo'q|ovqat yeg'im kelmaydi
uyqusizlik,бессонница,insomnia,G47.0,insomnia,symptom,uxlay olmayman|uyqu buzilishi
ko'krak og'rig'i,боль в груди,chest pain,R07.4,chest_pain,red_flag,ko'krak ogrigi|yurak og'rig'i|ko'kragim og'riyapti|to'sh og'rig'i|kokragim ogriyapti|kokrak ogrigi
yurak siqishi,сжимающая боль в груди,crushing chest pain,I20.0,crushing_chest_pain,red_flag,ko'krak siqilishi|yurak siqib og'riyapti
yurak urishi tezlashishi,сердцебиение,palpitations,R00.2,palpitations,symptom,yurak tez urishi|yurak dukillashi
qon bosimi ko'tarilishi,повышенное давление,hypertension,I10,hypertension,condition,bosim oshgan|gipertoniya|qon bosimi baland|bosimim ko'tarildi|bosim ko'tarilgan|bosim ko'tarilishi|bosimim baland|yuqori bosim
qon bosimi pasayishi,пониженное давление,hypotension,I95.9,hypotension,condition,bosim tushgan|gipotoniya|bosim past|bosimim tushdi
bosh aylanishi,головокружение,dizziness,R42,dizziness,symptom,boshim aylanyapti|garangsirash|boshim aylanadi
hushdan ketish,обморок,syncope,R55,syncope,red_flag,es-hushdan ketish|yiqilib tushish|hushini yo'qotdi
oyoq shishi,отёки ног,leg edema,R60.0,edema,symptom,oyoq shishgan|oyoqlarim shishyapti|shish
insult,инсульт,stroke,I64,stroke,red_flag,qon quyilishi|miya qon aylanishi buzilishi|falaj
yurak xurujii,инфаркт,myocardial infarction,I21.9,myocardial_infarction,red_flag,infarkt|yurak tutdi
qandli diabet,сахарный диабет,diabetes mellitus,E11.9,diabetes_t2,condition,diabet|shakar kasali|qand kasali|shakarim baland|qandim baland|shakarim oshgan
chanqoq,жажда,polydipsia,R63.1,polydipsia,symptom,tez-tez suv ichish|og'zim quriydi|chanqayapman
tez-tez siyish,частое мочеиспускание,polyuria,R35.0,polyuria,symptom,ko'p siyish|tungi siyish
qalqonsimon bez kattalashishi,увеличение щитовидной железы,goitre,E01.2,goitre,condition,buqoq|bo'qoq|bo'yin shishi
yod yetishmovchiligi,дефицит йода,iodine deficiency,E01.8,iodine_deficiency,condition,yod tanqisligi
semizlik,ожирение,obesity,E66.9,obesity,condition,ortiqcha vazn|to'lalik
qorin og'rig'i,боль в животе,abdominal pain,R10.4,abdominal_pain,symptom,qorin ogrigi|ich og'rig'i|qornim og'riyapti|qornim ogriyapti|ich ogrigi
oshqozon og'rig'i,боль в желудке,epigastric pain,R10.13,epigastric_pain,symptom,oshqozonim og'riyapti|me'da og'rig'i
ko'ngil aynishi,тошнота,nausea,R11.0,nausea,symptom,ko'nglim aynyapti|qusgim kelyapti|kongim aynyapti|kongil aynishi|ko'ngil aynishi|qusgim keladi
qusish,рвота,vomiting,R11.10,vomiting,symptom,qusdim|qayt qilish
qonli qusish,рвота с кровью,hematemesis,K92.0,hematemesis,red_flag,qon qusish
ich ketishi,диарея,diarrhea,A09,diarrhea,symptom,ich ketdi|diareya|suyuq najas|ich buzilishi|ichim ketyapti|ich ketyapti
qonli ich ketishi,кровь в стуле,bloody diarrhea,A09,bloody_diarrhea,red_flag,najasda qon|qonli najas
qora najas,чёрный стул,melena,K92.1,melena,red_flag,najas qora rangda
qabziyat,запор,constipation,K59.00,constipation,symptom,ich qotishi|ich kelmayapti
jig'ildon qaynashi,изжога,heartburn,R12,heartburn,symptom,jigildon qaynashi|kuyish|achishish
gastrit,гастрит,gastritis,K29.70,gastritis,condition,oshqozon yallig'lanishi
yara kasalligi,язвенная болезнь,peptic ulcer,K27.9,peptic_ulcer,condition,oshqozon yarasi|yara
helikobakter,хеликобактер,H. pylori,B96.81,h_pylori,condition,xelikobakter|helikobakter pilori
sariq kasali,желтуха,jaundice,R17,jaundice,symptom,sarg'ayish|terisi sarg'aygan|sariq
gijja,глисты,helminthiasis,B83.9,helminthiasis,condition,qurt|parazit
bolada ich ketishi,диарея у ребёнка,pediatric diarrhea,A09,pediatric_diarrhea,condition,bola ich ketdi
suvsizlanish,обезвоживание,dehydration,E86,dehydration,red_flag,suv yo'qotish|degidratatsiya|ko'zi ichiga botgan
bola emmayapti,ребёнок не сосёт,unable to feed,R63.3,unable_to_feed,red_flag,ko'krak emmaydi|ovqat yemayapti
bolada talvasa,судороги у ребёнка,febrile seizure,R56.0,febrile_seizure,red_flag,tirishish|talvasa|qaltirab qoldi
bola letargik,вялый ребёнок,lethargic child,R53.83,lethargy,red_flag,bo'shashgan|uyquchan|uyg'onmayapti
qizamiq,корь,measles,B05.9,measles,condition,qizilcha emas|qizamiq toshmasi
suvchechak,ветрянка,chickenpox,B01.9,chickenpox,condition,suv chechak
quloq og'rig'i,боль в ухе,ear pain,H92.0,ear_pain,symptom,qulog'im og'riyapti|otit
